Subject	round1	round2	round3	round4	round5	round6	round7	round8	round9	round10
1	7.277	7.77	13.199	1.857	2.017	1.894	1.893	1.796	3.295	13.849
2	2.799	8.502	10.038	3.299	4.907	1.878	3.498	1.655	1.855	2.873
3	2.162	14.495	14.915	1.804	1.576	1.041	1.491	1.807	3.003	1.455
4	8.588	29.528	14.367	5.177	7.11	22.776	11.192	14.782	5.537	3.662
5	3.828	8.235	6.099	4.684	2.53	8.142	10.46	3.143	3.281	2.708
6	4.939	3.226	1.813	2.547	4.358	2.106	2.186	2.043	1.834	1.866
7	2.9	2.175	2.627	1.882	3.47	6.146	2.655	3.032	1.994	2.984
8	4.261	8.889	2.523	4.409	2.486	2.033	2.078	1.777	2.522	2.207
9	2.922	6.351	2.332	1.586	1.851	1.422	2.015	1.839	2.853	1.975
10	7.173	3.937	2.364	3.618	2.468	2.814	2.357	2.082	2.552	3.881
11	23.286	3.246	3.542	5.37	3.362	4.266	11.298	8.384	2.842	8.801
12	10.332	13.788	14.781	12.479	10.358	8.953	5.21	5.03	18.424	2.321
13	8.199	21.729	3.419	3.964	2.445	3.544	2.895	5.156	3.249	3.456
14	8.29	11.81	4.322	2.773	11.658	1.756	3.855	11.468	11.629	9.221
15	3.651	3.003	1.371	1.409	1.686	2.363	1.194	1.07	1.241	1.009
16	3.262	4.69	2.182	15.85	1.638	1.442	2.211	3.781	2.311	1.495
17	10.209	4.677	3.718	2.127	1.866	2.126	2.989	1.758	2.206	2.09
18	4.414	4.27	3.964	9.815	2.878	2.403	2.448	7.184	1.943	2.935
19	3.882	2.816	2.102	2.431	2.036	2.098	2.518	2.066	2.214	1.981
20	3.416	1.761	2.037	2.625	1.457	1.665	1.527	1.553	1.961	1.528
21	6.976	6.016	4.307	3.393	2.674	3.042	2.671	2.311	3.074	2.974
22	52.939	3.843	3.439	3.518	18.906	6.176	1.885	2.264	2.422	2.02
23	2.178	2.584	2.487	1.449	2.18	1.966	1.815	3.487	2.962	2.055
24	3.149	3.295	4.347	2.553	3.238	6.236	7.251	4.439	4.763	6.04
25	5.404	15.438	18.617	3.504	3.384	2.613	15.528	2.719	2.423	2.779
26	3.228	7.748	2.049	2.03	2.362	1.93	2.856	2.555	1.806	2.205
27	2.206	1.584	1.416	1.493	1.058	1.529	1.181	1.092	1.167	1.524
