Subject	round1	round2	round3	round4	round5	round6	round7	round8	round9	round10
1	21.86	27.206	15.034	16.31	19.947	21.333	7.837	16.832	8.086	3.282
2	15.722	13.397	12.286	11.126	13.697	14.493	4.689	11.656	2.558	7.185
3	12.966	2.678	11.52	11.01	12.361	7.536	2.908	6.593	2.439	2.543
4	1.567	1.215	1.638	0.981	1.106	1.307	1.531	1.442	1.255	1.35
5	8.66	7.69	6.109	2.844	1.848	2.796	1.549	1.475	1.546	1.977
6	9.688	1.796	7.302	9.864	2.227	21.16	7.878	3.485	1.507	2.15
7	4.299	8.602	3.692	2.488	7.356	2.1	3.376	2.339	2.853	2.647
8	17.894	14.462	10.425	6.155	10.918	5.171	3.526	4.709	7.75	1.23
9	5.799	4.654	6.953	2.397	3.723	2.207	2.024	2.551	2.439	2.055
10	11.615	7.851	2.365	1.969	4.63	1.837	1.894	1.745	1.891	1.555
11	2.773	24.183	32.627	2.693	6.658	2.178	24.792	1.443	3.034	2.291
12	26.296	7.83	7.2	13.27	5.556	3.261	3.731	8.727	3.05	5.421
13	23.825	2.918	3.804	2.721	3.563	2.981	2.853	2.4	3.266	3.097
14	11.807	14.353	19.06	2.845	10.027	6.061	10.06	7.268	6.434	3.12
15	2.192	5.322	7.317	3.097	2.245	1.911	5.989	3.069	1.981	6.54
16	12.446	24.58	9.945	5.467	7.495	3.138	8.582	3.257	2.672	2.077
17	5.281	12.12	3.084	3.037	17.491	2.371	2.582	9.29	4.039	2.323
18	6.168	1.721	3.584	3.241	2.662	2.701	2.8	1.508	2.532	1.856
19	4.288	2.927	4.14	2.079	2.829	2.449	1.995	2.706	2.336	2
20	5.366	12.98	8.642	2.454	4.612	3.253	1.935	4.498	14.056	4.704
21	3.819	2.235	2.295	3.051	4.79	2.251	1.436	1.715	1.833	1.655
22	8.51	2.348	2.664	2.909	1.216	3.78	3.333	1.541	1.454	3.007
23	11.557	5.348	3.933	3.946	3.265	4.707	6.178	7.735	4.479	9.811
24	8.65	1.838	4.527	1.957	1.671	1.02	0.7	1.08	2.131	1.213
25	23.14	13.127	6.076	1.957	4.531	2.326	2.557	7.109	1.527	8.506
26	3.997	6.585	2.265	3.111	1.844	1.975	1.888	1.824	1.662	1.923
27	3.182	2.136	2.129	2.177	2.334	2.033	2.24	2.379	1.827	2.35
