sub	round1	round2	round3	round4	round5	round6	round7	round8	round9	round10
1	7	10	10	6	5	8	9	6	10	10
2	10	10	8	5	10	10	10	6	7	10
3	4	7	9	8	9	9	10	10	10	1
4	5	8	9	10	10	10	10	10	10	10
5	5	6	8	8	9	4	10	10	10	10
6	2	4	10	10	10	10	10	10	10	10
7	5	7	8	9	10	10	9	10	10	10
8	8	9	9	9	7	8	9	9	10	10
9	5	6	8	10	9	10	10	10	10	10
10	10	10	10	10	8	10	9	9	10	10
11	8	10	10	10	10	9	10	10	9	10
12	5	10	3	8	6	9	2	10	0	7
13	10	10	10	10	10	10	10	10	10	10
14	3	2	4	3	4	5	6	7	6	8
15	10	1	5	9	8	6	3	2	7	4
16	10	9	10	8	10	10	10	7	10	10
17	7	9	10	10	9	8	10	9	10	10
18	7	10	9	10	10	10	10	10	10	10
19	8	8	9	10	10	10	10	10	10	10
20	5	8	9	10	10	10	10	10	10	10
21	10	10	10	10	10	10	10	10	10	10
22	5	8	7	9	6	7	8	10	10	7
23	10	10	10	9	10	10	9	10	10	10
24	7	10	9	10	10	10	10	10	10	10
25	6	8	7	10	9	4	5	3	10	8
26	0	0	10	10	10	10	10	10	10	10
27	5	6	7	8	9	10	10	10	10	10
