sub	round1	round2	round3	round4	round5	round6	round7	round8	round9	round10
1	14 	20 	10 	11 	5 	11 	13 	7 	30 	30 
2	20 	25 	20 	8 	15 	30 	10 	7 	9 	20 
3	5 	10 	7 	11 	13 	13 	15 	0 	0 	3 
4	15 	24 	27 	15 	15 	15 	15 	15 	15 	15 
5	8 	7 	11 	11 	13 	3 	15 	15 	15 	15 
6	3 	6 	29 	13 	15 	14 	28 	15 	11 	14 
7	10 	18 	20 	20 	16 	20 	22 	25 	25 	25 
8	20 	20 	17 	15 	9 	11 	13 	13 	15 	15 
9	7 	9 	14 	15 	10 	15 	15 	15 	15 	15 
10	15 	14 	13 	12 	12 	13 	13 	14 	14 	14 
11	24 	25 	30 	20 	15 	18 	10 	15 	17 	10 
12	15 	20 	9 	20 	16 	27 	6 	30 	0 	1 
13	20 	15 	15 	15 	15 	10 	15 	15 	15 	15 
14	3 	1 	5 	1 	6 	7 	9 	11 	7 	12 
15	30 	1 	5 	13 	11 	7 	1 	2 	9 	4 
16	20 	21 	25 	19 	26 	23 	25 	18 	27 	25 
17	21 	27 	15 	15 	20 	24 	15 	0 	20 	15 
18	14 	15 	14 	18 	20 	25 	30 	20 	22 	30 
19	16 	16 	18 	20 	19 	20 	22 	20 	20 	25 
20	8 	13 	13 	17 	15 	13 	13 	13 	12 	13 
21	15 	16 	16 	16 	16 	16 	16 	16 	16 	16 
22	8 	13 	14 	17 	8 	13 	14 	17 	16 	10 
23	15 	20 	18 	15 	20 	18 	16 	16 	18 	20 
24	9 	15 	13 	15 	15 	15 	15 	15 	15 	15 
25	10 	12 	12 	15 	13 	2 	4 	1 	15 	10 
26	0 	0 	15 	15 	15 	15 	15 	15 	15 	15 
27	5 	7 	9 	11 	13 	15 	15 	15 	15 	15 
